EarthRef.org -- GERM Reservoir Database
Database development and maintenance by the PACER Team

DATA:
Reservoir	Z	Element	Value	Median	SD	Low	High	N	Unit	Reference	Computation	Notes	Inserted
CI Chondrites	47	Ag	208						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	47	Ag	200						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	13	Al	.86						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	13	Al	.82						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	13	Al	.86						wt%	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites		Al/Mg	.0891							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites		Al/Sc	.145							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites		Al/Ti	19.5							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites		Al/Yb	5.34							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites	33	As	1.84						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	33	As	1.85						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	33	As	1.85						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	79	Au	144						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	79	Au	140						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	79	Au	140						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	5	B	1.2						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	5	B	.9						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	5	B	.27						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	56	Ba	2410						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	56	Ba	2600						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	56	Ba	2300						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	4	Be	.027						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	4	Be	.025						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	4	Be	.025						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	83	Bi	110						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	83	Bi	110						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	83	Bi	110						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	35	Br	3.56						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	35	Br	3.6						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	35	Br	3.57						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	6	C	3.2						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	6	C	3.5						wt%	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	6	C	3.5						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	20	Ca	.92						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	20	Ca	.925						wt%	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	20	Ca	.9						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites		Ca/Al	1.076							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites		Ca/Sc	.156							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites		Ca/Ti	21							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites		Ca/Yb	5.75							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites	48	Cd	650						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	48	Cd	710						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	48	Cd	770						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	58	Ce	613						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	58	Ce	638						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	58	Ce	616						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	17	Cl	680						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	17	Cl	678						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	17	Cl	680						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	27	Co	501						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	27	Co	500						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	27	Co	508						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	24	Cr	2650						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	24	Cr	2650						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	24	Cr	2.67						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites		Cr/Mn	1.4							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites		Cr/V	47							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites	55	Cs	190						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	55	Cs	190						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	55	Cs	183						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	29	Cu	108						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	29	Cu	120						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	29	Cu	121						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	66	Dy	246						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	66	Dy	254						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	66	Dy	245						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	68	Er	160						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	68	Er	160						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	68	Er	166						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	63	Eu	58						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	63	Eu	56.3						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	63	Eu	56						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	9	F	64						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	9	F	60						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	9	F	54						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	26	Fe	18.3						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	26	Fe	18.1						wt%	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	26	Fe	18.2						wt%	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites		Fe/Al	21							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites		Fe/Cr	68.3							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites		Fe/Mg	1.88							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites		Fe/Ni	17.2							McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites.	23-FEB-1999
CI Chondrites	31	Ga	9.1						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	31	Ga	9.8						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	31	Ga	9.2						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	64	Gd	204						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	64	Gd	197						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	64	Gd	199						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	32	Ge	31						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	32	Ge	31.3						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	32	Ge	33						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	72	Hf	106						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	72	Hf	103						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	72	Hf	120						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	80	Hg	300						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	80	Hg	5300						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	80	Hg	390						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	67	Ho	54.6						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	67	Ho	57						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	67	Ho	54.7						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	53	I	450						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	53	I	560						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	53	I	500						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	49	In	80						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	49	In	80						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	49	In	80						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
